id,name,region,crop_x_px,crop_y_px,crop_width_px,crop_height_px,overlap_buffer_px,core_polygon_points_px,generation_polygon_points_px,connections
12,Greenholt Forest,Emerald Heartlands,334,404,333,263,16,350:420|450:470|560:510|650:470|640:580|570:650|450:640|370:550,336:412|334:426|355:556|442:654|576:665|654:588|666:478|665:464|658:456|643:455|557:492|458:456|357:405|344:405,08;09;13;15
13,Heartland Plains,Emerald Heartlands,624,454,293,213,16,650:470|760:530|880:500|900:580|820:640|700:650|640:580,635:464|624:583|631:595|685:658|694:665|826:655|909:594|915:586|916:575|897:499|892:489|886:485|873:485|762:513|656:455|644:455,09;10;12;14;15;17
14,Riverward Heartlands,Emerald Heartlands,864,484,273,263,16,880:500|1000:540|1120:570|1100:680|1000:730|900:690|900:580,868:489|864:505|884:582|884:693|889:702|1001:746|1112:691|1117:680|1136:567|1131:558|1124:554|1005:525|887:485|874:485,10;11;13;16;20
15,Serentha West Shore,Emerald Heartlands,354,534,363,303,16,370:550|450:640|570:650|640:580|700:650|680:730|620:800|520:820|420:740,356:542|354:554|406:748|512:834|528:835|628:814|694:738|716:647|709:635|648:566|640:564|629:568|564:633|459:625|381:538|370:534|362:536,12;13;17
16,Serentha East Shore,Emerald Heartlands,834,564,303,283,16,900:580|900:690|1000:730|1100:680|1120:760|1050:830|930:820|850:750,892:566|883:579|835:742|836:758|924:835|1045:846|1058:844|1132:771|1136:763|1114:672|1106:665|1094:665|1001:712|916:678|916:577|912:569|906:565,14;17;18;22
17,Jadevale Highlands,Emerald Heartlands,604,634,343,243,16,620:800|680:730|700:650|780:700|850:750|930:820|850:850|730:860,604:797|605:806|613:815|712:869|730:876|857:865|941:832|946:823|942:809|860:737|784:683|712:638|700:634|689:638|684:646|665:723|611:785,13;15;16;18
18,Jadevale Coast,Emerald Heartlands,504,784,613,163,16,620:800|730:860|850:850|930:820|1050:830|1100:900|950:930|780:920|650:880|520:820,504:817|505:826|512:834|643:895|779:936|952:946|1103:916|1111:912|1116:903|1113:890|1063:820|1056:815|929:804|844:835|734:844|638:791|618:784|517:804|509:808,16;17;22;24:boat
19,North Sunspine,Sunspine Dunes,1184,394,313,183,16,1200:410|1280:440|1360:430|1480:450|1450:540|1280:560|1220:500,1186:402|1184:415|1206:508|1274:575|1284:576|1458:554|1466:544|1496:454|1494:442|1483:434|1363:414|1283:424|1207:395|1194:395,07;11;20
20,Glass Mesa,Sunspine Dunes,1104,484,393,193,16,1180:560|1220:500|1280:560|1450:540|1480:620|1380:660|1220:640|1120:570,1104:567|1105:576|1110:583|1210:653|1225:657|1381:676|1491:632|1496:623|1494:610|1467:538|1458:526|1446:524|1286:543|1231:488|1220:484|1207:490|1170:546|1114:555|1108:559,11;14;19;21
21,Deep Dunes,Sunspine Dunes,1104,554,423,243,16,1120:570|1220:640|1380:660|1480:620|1510:720|1400:780|1220:750|1120:680,1105:564|1106:688|1214:765|1400:796|1418:789|1517:735|1525:726|1526:716|1497:619|1492:609|1486:605|1473:605|1377:644|1227:625|1130:557|1114:555,20;22
22,Ashfall Fringe,Sunspine Dunes,1034,664,473,243,16,1100:680|1120:680|1220:750|1400:780|1490:820|1450:860|1380:890|1180:860|1050:830|1120:760,1034:833|1038:841|1047:846|1172:875|1381:906|1461:872|1502:831|1506:817|1498:806|1407:765|1227:735|1130:667|1100:664|1088:669|1084:685|1102:755|1038:819,16;18;21;25
23,North Verdant,Verdant Isle,34,314,283,323,16,70:360|160:330|250:370|300:470|270:560|180:620|90:570|50:470,159:314|66:344|58:349|53:360|34:474|78:581|164:630|180:636|190:633|282:571|316:474|316:466|261:358|167:315,24
24,South Verdant,Verdant Isle,54,544,313,333,16,180:620|270:560|340:640|350:760|300:840|190:860|100:790|70:700,276:545|260:547|167:609|60:687|54:697|54:704|88:801|184:875|204:874|308:854|317:844|366:763|355:634|286:553,23;18:boat
25,Hellscar Tidal Cape,Ashen Hellscar,1384,804,152,220,16,1450:850|1530:820|1535:1010|1430:1000|1400:930,1535:805|1523:805|1439:838|1384:927|1385:937|1412:1000|1422:1014|1499:1023|1535:1023,22
